subject,blockcode,trialcode,trialnum,response,latency,stimulusitem3,stimulusitem4,stimulusitem5,stimulusitem6,stimulusitem8,values.gridface1_zscore,values.gridface2_zscore,values.gridface3_zscore,values.gridface4_zscore,values.compareface_zscore,values.trial_retry,values.nTrials,avg_grid,avg_compare,correct_resp,correct_num,easiness
474143404,gridcompare_block,gridcompare_trial,18,50,1008,CFD-WM-029-N-crop.jpg,CFD-WM-014-N-crop.jpg,CFD-WM-214-N-crop.jpg,CFD-WM-016-N-crop.jpg,CFD-WM-031-N-crop.jpg,1.451994212,1.772163002,1.507684178,-0.378935788,0.53514723,0,100,1.088226401,0.53514723,38,0,0.553079171
474143404,gridcompare_block,gridcompare_trial,19,50,1562,CFD-WM-032-N-crop.jpg,CFD-WM-218-N-crop.jpg,CFD-WM-037-N-crop.jpg,CFD-WM-253-N-crop.jpg,CFD-WM-041-N-crop.jpg,1.044506665,-0.302870319,-0.250115234,-0.164895482,-0.688913407,0,100,0.081656408,-0.688913407,38,0,0.770569815
474143404,gridcompare_block,gridcompare_trial,20,38,1125,CFD-WM-207-N-crop.jpg,CFD-WM-039-N-crop.jpg,CFD-WM-219-N-crop.jpg,CFD-WM-210-N-crop.jpg,CFD-WM-019-N-crop.jpg,0.36536075,-0.549888242,0.119170357,0.330190693,-1.518530958,0,100,0.066208389,-1.518530958,38,1,1.584739347
474143404,gridcompare_block,gridcompare_trial,21,50,1050,CFD-WM-215-N-crop.jpg,CFD-WM-210-N-crop.jpg,CFD-WM-208-N-crop.jpg,CFD-WM-242-N-crop.jpg,CFD-WM-003-N-crop.jpg,-0.302870319,0.330190693,1.112421257,-0.211913278,1.089101185,0,100,0.231957089,1.089101185,50,1,0.857144097
474143404,gridcompare_block,gridcompare_trial,22,50,1473,CFD-WM-248-N-crop.jpg,CFD-WM-237-N-crop.jpg,CFD-WM-031-N-crop.jpg,CFD-WM-227-N-crop.jpg,CFD-WM-230-N-crop.jpg,0.06235719,-0.619400824,0.53514723,-0.3625065,0.541211032,0,100,-0.096100726,0.541211032,50,1,0.637311758
474143404,gridcompare_block,gridcompare_trial,23,50,1736,CFD-WM-217-N-crop.jpg,CFD-WM-031-N-crop.jpg,CFD-WM-017-N-crop.jpg,CFD-WM-223-N-crop.jpg,CFD-WM-026-N-crop.jpg,-0.278521819,0.53514723,-1.191197868,-0.619400824,-0.104118604,0,100,-0.38849332,-0.104118604,50,1,0.284374716
474143404,gridcompare_block,gridcompare_trial,24,50,1580,CFD-WM-029-N-crop.jpg,CFD-WM-036-N-crop.jpg,CFD-WM-239-N-crop.jpg,CFD-WM-221-N-crop.jpg,CFD-WM-225-N-crop.jpg,1.451994212,-1.134683045,0.224680527,1.021868469,1.459540279,0,100,0.390965041,1.459540279,50,1,1.068575239
474143404,gridcompare_block,gridcompare_trial,25,38,967,CFD-WM-254-N-crop.jpg,CFD-WM-244-N-crop.jpg,CFD-WM-038-N-crop.jpg,CFD-WM-225-N-crop.jpg,CFD-WM-240-N-crop.jpg,0.06235719,-0.947654682,-0.718983455,1.459540279,0.857741538,0,100,-0.036185167,0.857741538,50,0,0.893926705
474143404,gridcompare_block,gridcompare_trial,26,50,1417,CFD-WM-040-N-crop.jpg,CFD-WM-255-N-crop.jpg,CFD-WM-229-N-crop.jpg,CFD-WM-215-N-crop.jpg,CFD-WM-253-N-crop.jpg,0.619492771,-0.93593133,-0.742496022,-0.302870319,-0.164895482,0,100,-0.340451225,-0.164895482,50,1,0.175555743
474143404,gridcompare_block,gridcompare_trial,27,50,1058,CFD-WM-204-N-crop.jpg,CFD-WM-014-N-crop.jpg,CFD-WM-244-N-crop.jpg,CFD-WM-034-N-crop.jpg,CFD-WM-035-N-crop.jpg,0.168408437,1.772163002,-0.947654682,-0.078982888,-1.333623506,0,100,0.228483467,-1.333623506,38,0,1.562106973
474143404,gridcompare_block,gridcompare_trial,28,38,938,CFD-WM-015-N-crop.jpg,CFD-WM-205-N-crop.jpg,CFD-WM-021-N-crop.jpg,CFD-WM-006-N-crop.jpg,CFD-WM-240-N-crop.jpg,0.30810717,-0.501229435,-0.619400824,0.65162865,0.857741538,0,100,-0.04022361,0.857741538,50,0,0.897965148
474143404,gridcompare_block,gridcompare_trial,29,38,742,CFD-WM-251-N-crop.jpg,CFD-WM-018-N-crop.jpg,CFD-WM-240-N-crop.jpg,CFD-WM-010-N-crop.jpg,CFD-WM-014-N-crop.jpg,0.562313066,0.52948768,0.857741538,-2.224990349,1.772163002,0,100,-0.068862016,1.772163002,50,0,1.841025019
