date,time,group,subject,build,therm_slider_black_response,therm_slider_black_latency,therm_slider_white_response,therm_slider_white_latency,
92717,16:06:19,759795979,526041724,5.0.9.0,84,4992,90,9666,
92717,14:55:35,212778136,969495770,5.0.9.0,44,4134,49,3542,
92717,03:38:11,855101016,84850510,5.0.9.0,49,11876,80,7420,
92717,06:33:43,405220498,623086347,5.0.9.0,75,14264,85,7786,
92717,06:24:10,803226747,858170434,5.0.9.0,100,7267,76,6393,
92717,06:27:34,190717450,753945421,5.0.9.0,66,4920,67,3444,
92717,04:52:30,910789463,18432892,5.0.9.0,51,4806,85,9190,
92717,01:14:38,180863649,102102820,5.0.9.0,60,8656,65,7759,
92717,03:42:35,907867755,326048283,5.0.9.0,51,10966,52,6856,
92717,00:34:08,615464025,557557695,5.0.9.0,36,7600,100,7083,
92617,22:52:53,105918737,217013457,5.0.9.0,75,8492,75,22768,
92717,01:48:59,309031988,220493053,5.0.9.0,50,7533,40,6272,
92617,22:49:31,886192858,336040694,5.0.9.0,80,7509,45,4382,
92717,00:37:51,861130562,768432271,5.0.9.0,72,7910,77,16196,
92617,22:32:58,58699043,610990942,5.0.9.0,50,15526,50,3451,
92717,00:38:14,608674009,905112375,5.0.9.0,50,10797,50,13960,
92617,22:36:52,338695984,713974656,5.0.9.0,71,7968,66,13738,
92617,22:12:21,224529323,253186092,5.0.9.0,65,7350,53,4973,
92717,01:01:13,493990870,811725241,5.0.9.0,100,3796,100,2656,
92617,21:34:02,677048195,668295644,5.0.9.0,97,11251,72,5549,
92617,23:53:05,179104430,246463362,5.0.9.0,75,15903,75,14128,
92717,00:06:22,120662062,395858842,5.0.9.0,41,4421,91,6434,
92617,20:59:07,188372401,97852686,5.0.9.0,95,6310,59,5620,
92617,22:56:08,904023832,399255900,5.0.9.0,100,11847,45,19959,
92617,23:27:35,699663806,224406296,5.0.9.0,56,5474,56,6814,
92617,21:35:39,273794486,862681541,5.0.9.0,33,10189,83,9385,
92617,21:10:09,692931144,277871078,5.0.9.0,80,4740,85,5490,
92617,21:53:23,211908985,578670908,5.0.9.0,51,10388,49,4731,
92617,21:55:36,968178099,753698912,5.0.9.0,75,7339,75,9232,
92617,21:20:12,600683787,485286174,5.0.9.0,67,11237,64,28469,
92617,17:56:42,560434312,981585405,5.0.9.0,51,3520,51,15861,
92617,20:45:38,975552007,743902213,5.0.9.0,56,4458,92,3520,
92617,19:28:09,136030697,148877140,5.0.9.0,65,5616,75,7785,
92617,19:06:08,120963799,169080456,5.0.9.0,80,10053,61,8135,
92617,17:08:48,276364851,751416408,5.0.9.0,57,12468,99,9790,
92617,19:03:31,597744628,925428977,5.0.9.0,62,4879,62,5620,
92617,15:46:55,954180077,730023496,5.0.9.0,55,62710,69,22798,
92617,18:41:55,623677268,829252903,5.0.9.0,30,5450,60,8526,
92617,17:44:50,161550156,914686009,5.0.9.0,86,2724,100,4445,
92617,15:37:38,750076053,778247169,5.0.9.0,100,2908,100,4421,
92617,18:27:01,781913977,297855696,5.0.9.0,18,19228,90,13550,
92617,18:26:23,573356965,48194348,5.0.9.0,100,10079,100,7463,
92617,18:26:58,470781839,662727535,5.0.9.0,87,7557,86,3575,
92617,15:40:39,306338003,994562087,5.0.9.0,42,6482,59,3959,
92617,15:28:50,829591959,353877672,5.0.9.0,33,4421,74,9724,
92617,12:59:03,607852999,905690533,5.0.9.0,94,10428,90,20029,
92617,16:10:46,986396025,153670249,5.0.9.0,48,3581,52,8633,
92617,14:36:26,684030501,457213609,5.0.9.0,85,6572,73,11599,
92617,15:34:35,454853514,395298768,5.0.9.0,28,2950,51,9310,
92617,13:32:14,986079142,129784751,5.0.9.0,82,3691,72,5410,
92617,13:28:37,515475451,268733171,5.0.9.0,60,7216,60,7982,
92617,12:25:52,902532229,830963883,5.0.9.0,53,10387,50,17113,
92617,13:18:19,482026661,985999961,5.0.9.0,100,7805,100,5690,
92617,12:12:25,858251281,220340556,5.0.9.0,91,6636,87,7804,
92617,12:53:36,906392917,554324567,5.0.9.0,83,4760,77,3514,
92617,11:54:58,26424261,522172380,5.0.9.0,64,2907,83,3523,
92617,11:36:41,288102729,658278960,5.0.9.0,88,11141,85,11669,
92617,11:20:21,288102729,658278960,5.0.9.0,80,15335,87,11710,
92617,16:16:48,494260032,664603684,5.0.9.0,50,4198,51,9725,
92617,10:59:45,948377885,276913733,5.0.9.0,24,3139,91,5671,
92617,09:56:41,995131549,315594766,5.0.9.0,52,13530,52,4365,
92617,10:47:29,947616850,511922798,5.0.9.0,65,2438,65,4417,
