date,time,group,subject,build,therm_slider_black_response,therm_slider_black_latency,therm_slider_white_response,therm_slider_white_latency,
92617,10:47:59,604626055,969456198,5.0.9.0,85,8698,85,11989,
92617,10:46:05,339409815,224223313,5.0.9.0,51,16289,51,2931,
92617,10:44:36,42300882,80872162,5.0.9.0,49,4993,52,5059,
92617,09:15:27,187168168,137644257,5.0.9.0,63,11161,61,4508,
92617,09:14:53,412660917,108191766,5.0.9.0,84,31677,87,14962,
92617,08:08:18,591021052,160788273,5.0.9.0,80,5298,14,5425,
92617,08:59:06,801975524,107134108,5.0.9.0,91,4844,97,10742,
92617,09:06:41,584912418,132570173,5.0.9.0,50,5437,50,10262,
92617,07:58:29,248276210,722307859,5.0.9.0,40,6198,52,3817,
92617,08:39:48,522447667,244625591,5.0.9.0,62,5364,69,6810,
92617,08:21:57,229419750,612084144,5.0.9.0,45,4123,71,3138,
92617,07:39:27,219286030,567278264,5.0.9.0,49,3824,49,8067,
92617,07:34:00,236663561,556491577,5.0.9.0,51,9755,51,3268,
92617,14:14:37,880466040,575782221,5.0.9.0,81,7221,73,4849,
92617,07:14:32,440131663,405551395,5.0.9.0,74,7483,81,12124,
92617,05:11:36,482862233,742429386,5.0.9.0,73,6171,71,7529,
92617,07:08:58,293850015,113105719,5.0.9.0,50,6011,52,4304,
92617,05:32:27,830104710,15578348,5.0.9.0,70,10133,85,24973,
92617,05:31:53,760310958,81192935,5.0.9.0,50,9180,55,8556,
92617,01:43:42,619864081,939949382,5.0.9.0,88,14099,96,8630,
92617,04:33:03,289158722,399998330,5.0.9.0,20,7122,48,9541,
92617,11:21:41,317420601,86001624,5.0.9.0,76,11935,64,11144,
92517,23:44:14,254723004,36512288,5.0.9.0,100,8552,100,5700,
92617,02:22:00,347781002,980564919,5.0.9.0,51,9711,49,6222,
92517,23:14:34,734425962,999610399,5.0.9.0,76,9802,75,8635,
92517,22:54:29,778016568,238326531,5.0.9.0,35,6302,39,13644,
92617,01:45:25,189901697,606786950,5.0.9.0,66,1633,90,5875,
92517,22:34:56,7484205,720122739,5.0.9.0,85,10513,80,7079,
92617,00:31:51,117794452,166249782,5.0.9.0,60,25560,40,16422,
92517,23:50:19,448518411,693005194,5.0.9.0,100,4578,100,7224,
92617,00:24:44,658903320,747168733,5.0.9.0,40,7445,60,4412,
92617,00:16:01,883921149,130066278,5.0.9.0,62,3336,51,6824,
92517,21:05:47,10464607,339429908,5.0.9.0,65,5839,87,15125,
92617,00:02:05,65883175,232377802,5.0.9.0,51,7679,50,8359,
92517,20:59:21,799107624,146096228,5.0.9.0,97,12264,98,25562,
92517,21:03:50,713662412,511331079,5.0.9.0,55,6981,65,4877,
92517,21:03:36,93423871,400870759,5.0.9.0,100,3731,100,4548,
92517,22:57:12,652651278,623148090,5.0.9.0,61,3469,60,7649,
92517,22:02:09,387817250,841943592,5.0.9.0,80,6299,80,5975,
92517,22:14:49,140045154,820471989,5.0.9.0,54,5263,55,7641,
92617,07:50:44,195931488,518315722,5.0.9.0,57,7996,66,6927,
92517,19:20:01,556658291,58068126,5.0.9.0,67,3884,88,16428,
92517,22:14:25,450656785,123425481,5.0.9.0,64,4267,86,4634,
92517,22:10:56,3517109,543603569,5.0.9.0,60,4541,58,7393,
92517,22:12:18,481503294,469831860,5.0.9.0,100,5055,100,7783,
92517,22:11:18,617907910,556913334,5.0.9.0,89,5917,89,3997,
92517,20:42:03,447714846,683308,5.0.9.0,92,3312,51,5962,
92517,17:00:05,383635355,294755066,5.0.9.0,100,4157,98,4815,
92517,16:43:33,195192413,253205741,5.0.9.0,56,2488,68,3744,
92517,19:38:41,987823281,460574861,5.0.9.0,100,3352,100,7063,
92517,19:32:20,277774781,486329142,5.0.9.0,94,4669,92,3744,
92517,19:32:05,5045998,748045838,5.0.9.0,91,4420,78,6032,
92517,15:00:19,102885040,650206797,5.0.9.0,100,3056,100,1900,
92517,15:01:49,186625784,916951535,5.0.9.0,83,6104,32,3440,
92517,13:57:13,78241996,598676420,5.0.9.0,61,4673,100,3498,
92517,15:46:40,487501590,960896551,5.0.9.0,73,8913,91,13637,
92517,16:47:19,674846395,773551747,5.0.9.0,52,9700,47,6218,
92517,14:27:07,141854104,611237733,5.0.9.0,21,20788,100,4699,
92517,13:10:06,597620127,79298289,5.0.9.0,30,7949,90,12314,
92517,14:11:21,800434409,107440649,5.0.9.0,81,15945,86,9926,
92517,13:12:32,348827590,328090827,5.0.9.0,75,5542,72,10192,
92517,13:10:51,142681490,534236926,5.0.9.0,96,6543,86,8684,
92517,13:56:09,93681744,814193314,5.0.9.0,37,3472,61,2543,
